-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |            Gemini-Align (Cutoff 3.0)             |            Gemini-Align (Cutoff 5.0)             |            Gemini-Align (Cutoff 7.0)             |                Official TM-align                
d1bmld3      d2sak__      |         59       7.00      0.38733      0.31150 |         60       5.63      0.37332      0.30677 |         65       7.37      0.39121      0.32223 |         73       3.58      0.52616      0.41685
d1ng4a2      d3cox_2      |         71       8.61      0.44356      0.34011 |         76       7.49      0.52186      0.40094 |         78       7.61      0.51575      0.39947 |         82       3.23      0.57336      0.44017
d1aqza_      d1a2pa_      |         80       6.74      0.36955      0.44878 |         93       4.06      0.48333      0.59182 |         98       4.11      0.49145      0.59739 |         80       3.77      0.39090      0.48017
d1nkla1      d1qdma1      |         63       3.96      0.44353      0.48106 |         65       3.77      0.49939      0.54409 |         64       3.43      0.46151      0.49990 |         48       4.10      0.31072      0.33712
d1d5ra1      d1rsy__      |         91       8.02      0.41486      0.41046 |         92       4.57      0.44674      0.44211 |        109       3.86      0.58636      0.57970 |         98       3.06      0.55806      0.55144
d1nls__      d2bqpa_      |        156       6.25      0.50346      0.51978 |        167       6.13      0.53878      0.55594 |        180       5.77      0.56364      0.58118 |        116       1.20      0.47164      0.48968
d1qasa2      d1rsy__      |         82       6.14      0.42074      0.40072 |        120       5.26      0.82558      0.77501 |        119       2.88      0.82717      0.77666 |        104       2.28      0.72166      0.67751
d1b6a_1      d1bia_1      |         53       4.44      0.38478      0.41489 |         52       4.10      0.41276      0.44989 |         52       4.13      0.41053      0.44790 |         49       2.34      0.45724      0.50553
d1b5ta_      d1k87a2      |        208       7.05      0.57309      0.46621 |        233       8.84      0.62976      0.51423 |        239       5.72      0.64911      0.53176 |        192       3.62      0.55453      0.44955
d1jwyb_      d1puja_      |        164       7.04      0.43894      0.46655 |        173       5.53      0.46581      0.49457 |        185       5.41      0.51456      0.54698 |        106       4.08      0.28727      0.30526
d1jwyb_      d1u0la2      |        156       7.01      0.43843      0.55600 |        170       7.25      0.47930      0.60492 |        178       4.56      0.49914      0.62711 |         94       3.69      0.26757      0.33953
d1nw5a_      d2adma_      |        162      10.23      0.42017      0.31210 |        176       8.48      0.46453      0.34724 |        185       7.77      0.48166      0.36258 |        153       5.32      0.37182      0.28246
d1gsa_1      d2hgsa1      |         73       6.43      0.39035      0.44308 |         78       4.75      0.42568      0.48011 |         80       4.79      0.42954      0.48388 |         92       3.23      0.56655      0.65433
d1qq5a_      d3chy__      |        105       4.95      0.32775      0.54216 |        102       3.97      0.32590      0.53725 |        114       3.55      0.37805      0.63953 |        103       4.05      0.30638      0.49415
d1kiaa_      d1nw5a_      |        186       7.75      0.50474      0.51249 |        204       8.76      0.56582      0.57445 |        208       7.15      0.57164      0.58024 |        117       3.12      0.35518      0.36094
d1aj3__      d2spca_      |         42      13.75      0.22601      0.21387 |         53      11.86      0.29977      0.28301 |         59      13.25      0.45270      0.42045 |         66       2.74      0.52423      0.48724
d2bbma_      d4cln__      |         55       9.92      0.19308      0.19308 |         78       9.76      0.29513      0.29513 |         85       6.75      0.37993      0.37993 |         79       2.93      0.42476      0.42476
d1dlia1      d1mv8a1      |         51       6.04      0.29814      0.29814 |         67      10.61      0.34940      0.34940 |         72       6.67      0.41821      0.41821 |         52       1.71      0.46420      0.46420
d1hava_      d1kxf__      |        127       5.99      0.45126      0.57780 |        129       5.79      0.45275      0.57507 |        133       4.49      0.46457      0.58923 |        140       3.64      0.50019      0.64250
d1l5ba_      d1l5ea_      |         49       8.24      0.18062      0.18062 |         68       9.81      0.34646      0.34646 |         66       8.21      0.35018      0.35018 |         76       3.58      0.55845      0.55845
d1adl__      d1mup__      |        106       3.84      0.57787      0.50262 |        112       3.68      0.59867      0.52276 |        114       3.77      0.59559      0.52106 |        116       4.63      0.52884      0.46502
d1ggga_      d1wdna_      |        165       6.37      0.56961      0.56328 |        176       5.09      0.61107      0.60444 |        179       5.28      0.61772      0.61104 |        195       3.92      0.67403      0.66599
d1d5fa_      d1nd7a_      |        197       9.18      0.42606      0.40250 |        220      11.05      0.47096      0.44550 |        260       7.34      0.57267      0.54179 |        255       3.95      0.59220      0.55901
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Average                   |     131.45       7.30       0.4321       0.4242 |     143.65       6.70       0.4871       0.4787 |     156.10       5.94       0.5249       0.5205 |     132.22       3.64       0.4817       0.4686
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
